Gene_Proteins,EAA30,EAA13,PPS15,PPS24,PPS40,PPS47,PPS52,PPS64,PPS67,Young_Average,Young_SD,T-Test (Young to Pre-Old),T_Test_Young_to_Post,PRE_S03,PRE_S05,PRE_S10,PRE_S12,PRE_S15,PRE_S17,PRE_S24,PRE_S30,PRE_S32,PRE_S02,PRE_S04,PRE_S09,PRE_S11,PRE_S14,PRE_S16,PRE_S19,PRE_S21,PRE_S31,Old_Pre_Average,Old_Pre_SD,T_Test_Pre_to_Post),POST_S03,POST_S05,POST_S10,POST_S12,POST_S15,POST_S17,POST_S24,POST_S30,POST_S32,POST_S02,POST_S04,POST_S09,POST_S11,POST_S14,POST_S16,POST_S19,POST_S21,POST_S31,Old_Post_Average,Old_Post_SD
"MYLK;GN=_Myosin light chain kinase, smooth muscle;Isoform of Q15746, Isoform 2 of Myosin light chain kinase, smooth muscle",290.528,278.8751,202.582,177.288,262.2821,372.6431,169.8029,247.6887,206.2562,245.3273,64.5735,0.3859,0.0467,244.8701,320.7836,276.7071,315.2286,195.782,211.1838,445.6159,153.0202,198.9763,272.6767,346.6786,310.3772,276.8793,276.1848,323.0353,298.8904,218.4973,178.7315,270.2288,71.1543,0.0795,500.2626,380.6477,425.9045,291.2865,312.6973,351.14,321.5304,182.2724,223.3959,269.6952,265.6543,319.7269,296.8206,235.0491,344.5096,351.9887,289.0787,200.2428,308.9946,78.7847
"MYLK2_Myosin light chain kinase 2, skeletal/cardiac muscle",317.313,144.8804,288.4037,226.3494,312.8734,212.9576,235.5836,331.2122,280.5478,261.1246,60.7898,0.4109,0.9283,222.8106,128.9176,286.1675,279.4639,164.2755,319.4189,341.9485,303.7027,271.0825,304.1921,179.6086,306.8243,483.2708,359.9977,268.5035,284.5849,544.1843,209.7979,292.1529,102.0029,0.0904,242.3807,92.6026,337.5299,186.389,182.9886,416.9465,291.6232,166.0432,221.2459,148.6528,169.3233,191.9461,509.6758,229.6458,211.4956,413.1699,422.8789,198.1787,257.3731,115.3528
MYLK3_Myosin light chain kinase 3,13.3471,5.1667,8.0113,13.2611,10.9817,8.8347,5.6201,14.8561,7.8344,9.7681,3.508,0.0004,0.0005,12.9848,19.8021,18.2272,21.5936,17.1148,16.0199,27.3817,11.2655,14.9693,23.4395,16.8278,34.3234,15.3635,18.0801,15.9496,13.948,27.5833,12.0559,18.7183,6.0949,0.8833,16.881,15.582,23.4591,22.4295,11.728,31.1086,24.2506,8.5432,10.7591,14.797,16.4671,28.0659,20.768,17.732,16.1958,16.9601,28.6033,16.1011,18.9129,6.3044
"MYO15B_Isoform of Q96JP2, Unconventional myosin-XVB",25.269,21.7625,57.4117,44.9241,40.8196,53.6405,39.925,81.7158,53.9519,46.6023,18.0497,0.006,0.0014,75.9164,194.1387,89.2319,102.524,80.7556,92.27,193.6247,27.1237,34.6419,134.5389,159.1208,163.5271,74.3174,77.1436,122.363,77.6805,75.9707,27.6377,100.1404,51.484,0.9963,107.5717,92.7947,159.8131,134.0048,70.6032,127.198,169.6376,14.26,26.1141,115.924,112.5167,94.2929,97.3406,93.0805,138.2615,91.5227,123.7132,34.7182,100.1871,42.6779
MYO18A_Unconventional myosin-XVIIIa,7.0419,5.7904,3.2092,1.6184,2.6471,2.3648,3.6303,3.1543,2.2014,3.5175,1.7767,0.7537,0.9779,3.1676,3.02,2.6346,1.6275,3.7512,3.0497,5.6242,2.773,2.2714,2.8337,3.466,3.8114,1.9687,2.9309,7.0008,2.686,2.636,4.6281,3.3267,1.3065,0.5505,4.7228,3.5345,5.1453,1.7767,5.8106,2.8733,4.4527,1.4765,3.9353,2.3631,2.3715,2.6417,3.0102,2.1167,5.5783,5.3337,3.5663,2.9165,3.5347,1.3625
"MYO18B;GN=_Unconventional myosin-XVIIIb;Isoform of Q8IUG5, Isoform 3 of Unconventional myosin-XVIIIb",46.2368,68.2511,64.2393,53.3924,75.8872,67.4828,80.7877,116.8978,62.9082,70.6759,20.2475,0.0175,0.0034,97.1708,123.7121,123.1743,50.2257,103.8898,86.3695,114.9107,55.789,92.3425,164.4175,138.3334,131.3681,104.3495,90.9703,115.9178,58.9402,93.0992,55.5138,100.0275,31.3338,0.1005,159.2935,96.9668,121.1748,182.6923,157.988,126.7594,150.9461,49.8909,54.8877,145.5704,140.6426,75.4708,155.0936,50.8228,128.263,139.7104,162.8606,65.0365,120.2261,43.387
MYO1B_Unconventional myosin-Ib,10.4951,12.5173,5.3543,6.3838,8.1483,9.647,6.0918,7.6773,5.7624,8.0086,2.4426,0.2554,0.578,6.4929,6.0941,8.9376,4.4795,4.5048,6.9384,13.4079,4.5264,5.703,8.5241,8.6781,9.2191,5.8249,6.8675,8.195,5.5019,5.0193,5.3052,6.9011,2.2756,0.0395,16.402,9.2581,12.6041,5.9693,8.8987,8.3537,10.3758,2.3042,5.333,8.3786,6.9265,9.105,11.1146,4.8759,10.698,12.916,7.8472,5.6514,8.7229,3.371
MYO1C_Unconventional myosin-Ic,34.1576,26.6815,17.9639,19.6825,12.6844,33.6042,22.1689,31.0318,15.7401,23.7461,7.9543,0.8392,0.2542,17.9902,23.0575,23.0208,30.8124,24.3205,16.2503,38.9996,13.1204,15.4348,26.2935,20.9183,54.1614,39.8833,16.5348,33.4157,16.1069,18.9124,13.5021,24.5964,11.0463,0.1749,54.6384,32.1976,35.0681,15.9963,18.4597,36.4066,31.8289,9.8429,14.0176,26.295,17.2949,34.2121,55.3342,20.4342,36.3665,35.2881,25.5221,25.2905,29.1385,12.5945
MYO1D_Unconventional myosin-Id,7.4626,9.7367,5.9896,4.4481,6.1997,6.5583,4.5714,6.1803,3.9446,6.1212,1.7687,0.4178,0.0616,4.9231,5.7097,6.8821,5.4604,5.2526,5.4383,8.4326,3.7683,5.9306,6.0736,6.3933,7.3416,2.3905,5.2796,7.5379,5.0155,4.6574,4.3431,5.6017,1.4271,0.003,12.2236,9.0912,7.7057,5.7032,14.0063,7.7639,7.124,6.2679,6.477,13.3682,5.4315,7.0563,6.6312,4.539,9.5258,12.4402,5.1715,7.3174,8.2136,2.9352
MYO1E_Unconventional myosin-Ie,0,3.0989,0.9793,1.5484,1.7158,1.8327,0.5628,1.8889,1.2098,1.4263,0.8876,0.0756,0.0194,1.8132,2.1533,1.5464,2.1673,1.9837,1.9515,3.0336,1.7177,1.8055,1.153,1.8413,2.2469,1.4659,1.6203,2.6739,1.7746,1.9384,1.3204,1.9004,0.4541,0.0387,3.3143,1.843,2.5581,1.8829,3.1844,2.6858,3.0028,1.9303,0.9633,1.6549,2.1969,2.6072,2.7333,2.0261,2.6977,3.9594,3.2428,0,2.3602,0.9279
"MYO9B;GN=_Unconventional myosin-IXb;Isoform of Q13459, Isoform Short of Unconventional myosin-IXb",0,0,0,0,0,0,0,0,0,0,0,0.4903,#DIV/0!,0,0,0,0,0,0,0,0,0,1.3856,0,0,0,0,0,0,0,0,0.077,0.3266,0.3313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYOC_Myocilin,15.3246,6.9312,13.1553,8.5463,22.5927,8.9556,6.8493,13.6209,11.6013,11.953,5.0097,0.4029,0.7285,10.4721,16.4215,15.4604,7.6388,14.4402,6.3762,11.5043,5.4369,14.8902,29.1305,14.9014,19.3281,18.8665,5.3395,10.6182,26.2248,10.7807,15.4739,14.0725,6.5517,0.1168,9.0198,13.1954,16.6461,3.2421,12.2131,11.5526,10.733,15.0911,9.6956,10.57,11.3349,22.6976,11.1968,6.1782,7.8759,8.6145,15.1222,8.4112,11.2994,4.3321
"MYOF;GN=_Myoferlin;Isoform of Q9NZM1, Isoform 6 of Myoferlin",6.1121,11.9264,4.8663,2.8358,7.3819,6.668,5.0903,3.2434,3.4931,5.7353,2.8033,0.8406,0.1141,3.7813,4.8107,6.6255,3.9186,8.0163,3.4879,8.5185,5.0055,8.7943,6.5561,5.8793,7.1728,5.5207,6.1659,7.7224,4.3723,4.7135,5.2918,5.9085,1.6477,0.0329,16.353,9.3287,6.6652,6.3332,16.6083,5.9646,6.5512,3.7053,8.7212,6.3223,6.1861,9.1956,7.4045,3.3447,11.3188,12.329,6.2146,3.6809,8.1237,3.8828
MYOM2_Myomesin-2,140.3744,64.7753,87.0965,77.3,80.7734,64.6834,240.2951,157.4368,89.9305,111.4073,58.1824,0.0001,0.0003,365.5407,347.8662,210.3392,329.6292,170.9908,470.501,601.5347,322.514,122.2366,256.2996,257.2925,414.3714,562.0702,274.6627,362.702,464.742,232.3518,151.8802,328.7514,135.71,0.3466,306.5477,139.6121,366.5323,338.548,222.497,317.1614,157.9872,52.7863,277.7635,284.7562,352.1412,89.6973,324.3351,278.4573,484.3969,278.0537,448.2456,380.1517,283.315,115.266
MYOM3_Myomesin-3,25.7625,5.3507,11.413,8.5444,13.9145,9.9562,20.6227,23.1316,12.7528,14.6054,6.9954,0.0026,0.0118,32.684,49.3642,27.1907,27.6902,21.2703,22.8066,48.1571,15.8106,15.5956,30.0987,24.1228,37.127,24.7167,20.3282,21.0741,39.6654,24.7256,13.0287,27.5254,10.4244,0.2059,25.2754,20.0827,31.0822,27.2848,33.5756,22.227,16.3954,3.4996,16.0205,23.0926,34.8271,11.3862,24.2825,26.3183,24.6321,27.684,35.0765,17.6708,23.3563,8.2832
MYORG_Myogenesis-regulating glycosidase,1.7294,1.079,0.6995,1.6838,0,0.8429,2.1225,1.5467,1.5992,1.2559,0.6566,0.0202,0.0182,1.8257,1.0323,1.3348,0.9288,1.0926,3.6321,4.2851,2.5748,2.0036,1.2681,1.9232,2.6509,1.3999,2.1262,4.15,3.3206,2.5179,1.7426,2.2116,1.0525,0.2573,2.8807,0.8146,1.7243,1.3531,0.8971,3.7513,4.106,1.2671,1.5051,1.5616,1.8106,1.5395,3.1405,2.1392,4.2609,5.2557,4.1079,2.0814,2.4554,1.3365
MYOT_Myotilin,24.1651,20.2913,25.0265,23.5819,14.0498,19.8652,32.4896,25.6334,18.7891,22.6547,5.2048,0.0177,0.0123,27.5319,28.1846,27.2596,30.7203,32.0459,28.0002,51.7918,30.0503,18.3063,32.5723,28.7294,30.1571,20.5017,24.6945,40.9685,35.4089,28.8168,21.518,29.8477,7.6171,0.2164,30.6124,16.9404,34.191,28.1333,55.4018,48.0043,40.0241,24.6502,17.6919,25.5372,34.683,22.2935,29.4032,25.0068,40.0776,45.8067,44.0876,30.4479,32.9441,10.7445
MYOZ1_Myozenin-1,23.5011,8.9148,12.2857,14.3377,9.2187,11.553,13.2998,18.4292,13.5708,13.9012,4.5858,0.0035,0.0032,20.5417,27.6256,20.3479,34.588,14.4369,37.963,55.3555,18.3759,12.8145,15.3726,17.3271,30.7461,34.095,38.7347,43.939,42.7575,18.4776,17.112,27.8117,12.4291,0.2064,28.9067,24.4356,23.1533,16.0887,39.2215,29.0122,22.0355,6.0691,19.1591,17.0952,25.5045,15.1558,22.2277,26.0711,26.3149,42.0754,21.5932,21.5902,23.6505,8.297
MYOZ2_Myozenin-2,16.9741,4.6915,2.8629,1.5877,3.947,4.1908,3.4383,3.3636,3.5003,4.9507,4.5934,0.0001,0.0036,8.0304,19.944,17.8904,16.2527,11.7158,17.02,33.5475,11.1109,13.0167,11.7746,13.2442,27.7837,20.1414,20.9363,16.957,22.0807,9.5092,9.0511,16.667,6.7255,0.2044,8.9043,15.5318,12.6973,10.7528,30.3406,14.3146,8.6561,0.5594,19.5648,6.9739,28.3346,11.7376,13.1642,12.7661,13.8039,8.4826,15.9153,8.7349,13.4019,7.1351
MYOZ3_Myozenin-3,7.3264,1.2026,0,0,3.4203,1.2317,4.2077,8.0799,1.3095,2.9753,3.0284,0.0005,0.0573,4.9163,9.2366,6.7736,8.9686,6.9739,8.9879,15.8147,6.9847,4.9728,4.2486,8.0025,7.8179,15.8012,8.1545,7.5675,16.4555,7.8677,5.8237,8.6316,3.6864,0.0076,4.7841,5.2908,2.7518,6.199,10.0421,2.9763,5.7085,0.724,7.6467,3.3096,12.3628,2.4332,3.6024,4.4705,5.5989,6.2464,4.3764,7.0625,5.3103,2.7933
MYPN_Myopalladin,8.6018,4.3996,6.2287,6.1204,4.2518,5.8897,5.2149,4.2796,3.3528,5.371,1.5608,0.0173,0.0026,6.2206,9.2899,6.8111,8.4067,3.9882,7.4983,13.2057,6.7569,4.2452,6.3074,7.2934,11.1761,7.4971,5.8979,11.2499,6.4049,8.4284,6.3959,7.6152,2.3865,0.1054,7.0745,9.7706,9.3371,7.0456,12.4717,8.8406,12.2355,5.5888,5.3774,6.7201,7.1733,14.648,9.232,4.1007,9.6806,9.708,8.4492,7.38,8.6019,2.6687
N4BP1_NEDD4-binding protein 1,5.4136,3.2152,1.9921,2.2739,4.0352,2.3168,3.0328,3.2931,2.52,3.1214,1.0688,0.6685,0.0553,2.388,2.5131,2.7291,2.3492,2.7994,3.0525,5.2379,2.9549,3.3075,3.107,3.5886,4.325,3.3876,2.7964,4.1846,3.904,3.0147,3.2969,3.2743,0.7482,0.0115,3.4761,3.0678,4.0984,2.9807,5.8106,4.5194,4.5522,3.1515,2.8885,3.0309,3.427,4.1503,4.2422,2.7521,4.1841,4.7166,4.032,4.4818,3.8646,0.8173
N6AMT1_Methyltransferase N6AMT1,8.2393,4.1088,1.7342,1.3517,5.2987,2.5515,3.388,2.3383,2.4177,3.492,2.1573,0.0175,0.0286,1.7062,1.57,2.0588,1.082,2.1012,1.0206,2.2618,3.1488,3.9738,2.6912,2.4936,2.6019,1.3307,1.7881,2.3182,1.5042,1.2541,2.2919,2.0665,0.7614,0.499,3.1347,2.2102,1.8047,0.842,3.2713,1.5498,1.9365,3.4675,3.1884,2.3452,1.9285,2.5804,2.0146,1.3069,1.808,2.4948,0.6693,2.6113,2.1758,0.8011
NAA10_N-alpha-acetyltransferase 10,12.3165,9.7726,8.533,8.7999,6.7386,10.4977,12.7951,13.5085,8.0446,10.1118,2.3379,0.0135,0.0014,7.9275,12.9931,11.6928,12.3062,12.2116,10.6429,19.031,11.7692,13.8453,13.1114,14.5823,15.3883,10.8765,11.7139,15.8654,14.8051,11.2706,10.193,12.7903,2.5279,0.2389,13.8611,11.5325,15.5529,11.4372,19.9262,14.6245,14.7137,12.9844,9.5935,11.8324,13.247,12.8375,14.7875,9.6396,15.9735,17.6453,14.5618,13.6068,13.7976,2.5978
"NAA15_N-alpha-acetyltransferase 15, NatA auxiliary subunit",10.4903,8.9621,10.6365,10.4901,10.2936,12.6443,11.8999,12.354,10.0025,10.8637,1.1978,0.1461,0.1068,6.7629,13.5929,11.3847,13.4192,12.5827,10.232,17.3604,11.8263,12.8914,10.2742,10.0283,12.8083,11.5742,11.8222,17.11,12.7794,11.6828,10.7895,12.1623,2.4365,0.4065,12.6969,9.7168,13.8456,10.9552,20.5885,13.3715,16.9911,11.2907,7.5158,8.2675,10.9048,15.6056,13.2921,9.6418,15.2055,17.8291,13.7885,10.1358,12.869,3.4646
NAA20_N-alpha-acetyltransferase 20,1.1654,1.017,1.5798,1.5761,0,2.0151,1.413,2.2362,1.789,1.4213,0.6567,0.0692,0.0856,1.5604,1.5364,1.62,1.8002,1.7064,1.3532,2.2603,1.4769,2.207,1.8674,1.5133,2.0897,2.3099,1.7124,1.9781,1.4398,2.1466,1.3655,1.7746,0.3205,0.9883,1.9934,1.1252,1.5941,1.4582,2.291,2.2588,1.4045,1.4616,1.4638,1.618,1.787,1.6702,1.9751,1.4776,1.7266,2.554,2.0437,2.0061,1.7727,0.3706
"NAA25_N-alpha-acetyltransferase 25, NatB auxiliary subunit",8.5426,8.0632,8.9784,8.3307,7.1346,9.1032,7.9185,9.6918,6.5254,8.2543,0.9869,0.0194,0.1814,7.2683,9.854,9.3308,12.5581,8.8323,7.9719,16.0015,10.6084,11.7139,8.9794,8.6144,10.844,10.5631,9.8333,13.815,10.4139,11.294,6.4968,10.2774,2.3083,0.0647,8.3214,5.5198,8.4881,8.3969,13.15,8.3768,11.5378,9.2177,7.8863,7.3701,8.5098,8.806,9.8106,7.8173,10.6783,11.8831,10.4765,8.5459,9.1551,1.8248
NAA30_N-alpha-acetyltransferase 30,25.6973,16.52,17.0373,11.9173,12.6523,12.3963,25.0983,15.567,9.0117,16.2109,5.7841,0.0358,0.0022,20.8706,21.1209,15.9338,14.4719,17.8145,25.0588,36.5057,20.2325,19.342,22.3845,23.5194,27.0888,15.4131,19.8976,32.0812,23.2601,18.6228,13.9541,21.5318,5.914,0.096,31.3905,19.6844,28.2626,19.3518,23.1539,28.0725,30.1108,13.8587,17.001,23.2741,22.1675,19.6734,27.0704,15.9096,34.7858,28.6107,27.575,32.1927,24.5636,6.0816
"NAA35_N-alpha-acetyltransferase 35, NatC auxiliary subunit",1.1937,1.1429,1.6432,2.0304,1.1678,1.6815,1.8367,1.4335,1.4237,1.5059,0.3142,0.0057,0.0009,2.8473,1.8022,1.8924,1.7862,1.9547,3.3156,4.4644,1.8614,0.7607,2.9084,2.0904,2.9716,2.416,2.4451,4.3097,2.801,2.4748,1.4976,2.4778,0.9289,0.0807,3.8406,1.9931,2.8478,2.1268,2.6334,3.2808,3.7829,0.5741,1.2175,2.7313,2.4418,2.3366,3.3986,2.1575,4.6026,4.0247,3.3746,3.2393,2.8113,1.0077
"NAA38;GN=_N-alpha-acetyltransferase 38, NatC auxiliary subunit;Isoform of Q9BRA0, Isoform 2 of N-alpha-acetyltransferase 38, NatC auxiliary subunit",0,0,0,1.3658,0,0,4.4509,0,0,0.6463,1.4965,0.5995,0.7007,1.1372,1.2756,0,0,0.6516,1.1292,3.0589,0,0,1.4268,0,0.8796,0,0.5983,2.323,0,1.1183,2.5817,0.8989,0.9675,0.894,1.2791,1.1236,2.0357,0,0,2.9674,0,0,0,0.9462,1.4508,0,0,0,1.1959,0,0,4.4602,0.8588,1.2578
NAA50_N-alpha-acetyltransferase 50,1.5149,1.3583,1.982,4.067,1.1762,2.1577,1.6988,1.7495,2.1355,1.9822,0.8509,0.3739,0.0407,2.4919,1.6932,1.3662,2.3962,2.0196,2.2267,3.1854,3.3354,0,1.5497,1.8274,2.3867,7.0516,2.4975,2.3193,2.1375,3.0778,2.3217,2.438,1.3766,0.0279,6.8061,2.1391,4.3233,1.4727,5.2762,2.1173,2.6744,1.7255,1.4645,2.4858,1.6723,1.4903,6.7173,2.2241,7.0844,5.4806,5.7335,2.9516,3.5466,2.0725
"NACA_Nascent polypeptide-associated complex subunit alpha, muscle-specific form",45.5604,41.0875,45.9305,41.4361,16.8799,51.7956,36.0201,43.7428,29.7308,39.1315,10.4375,0.0096,0.0008,47.4718,67.2686,37.0613,56.419,73.2947,51.3169,72.2538,46.6389,29.1676,59.518,69.6029,85.6229,49.5896,41.8119,89.588,64.2262,58.7416,27.4917,57.0603,17.5977,0.0021,109.0933,53.1035,99.658,51.8944,157.1897,96.2233,120.6485,42.8668,33.6492,75.3136,59.3905,66.6928,113.7088,49.8378,99.2205,136.971,113.14,62.9299,85.6406,35.3546
NACAD_NAC-alpha domain-containing protein 1,0,0,1.6402,1.4037,0.3532,1.4132,0,1.8994,1.1551,0.8739,0.7787,0.1618,0.3745,0.9886,0,0,0,1.5184,1.1483,0,0.3611,0,0,0,1.1537,0,0,1.276,1.8772,0,0,0.4624,0.6583,0.5753,0,1.3964,0,0,2.5528,1.6591,0,1.0542,0,0,1.1498,0,0,0,0,2.2747,0,0,0.5604,0.8803
"NADK2_NAD kinase 2, mitochondrial",0,20.9223,5.4388,7.8701,11.1344,16.4624,12.3323,10.2401,8.1622,10.2847,6.081,0.8543,0.2266,11.1696,10.7476,11.5617,7.1044,10.0849,9.1572,20.3077,9.5973,16.3118,5.1862,12.9666,15.5021,4.8349,6.7174,14.5898,7.8652,7.8261,10.1532,10.6491,4.0744,0.1147,14.1026,8.1007,12.9931,12.0315,24.1615,12.8789,24.7584,36.73,0,8.3248,13.1134,13.393,11.5078,8.2273,12.9301,18.8377,16.7308,5.5521,14.1319,8.2197
"NADSYN1;GN=_Glutamine-dependent NAD(+) synthetase;Isoform of Q6IA69, Isoform 2 of Glutamine-dependent NAD(+) synthetase",0.5091,1.508,0.588,0,0.834,0.4024,0.693,0.329,0.2764,0.5711,0.4281,0.6231,0.0464,0.2783,0.9006,0.5652,0.9443,0.6318,0,0.9917,0,0.6467,0.4533,0,0.627,0,0.3673,0.6434,0.2909,0.9907,0.5796,0.495,0.3463,0.0071,0.8541,0.9428,1.1599,0.2999,1.3493,1.1463,1.232,0.9599,0.6715,0.5679,0.6268,1.0459,1.2374,1.3937,0,1.2205,0.65,0.9835,0.9078,0.3761
"NAF1;GN=_H/ACA ribonucleoprotein complex non-core subunit NAF1;Isoform of Q96HR8, Isoform 2 of H/ACA ribonucleoprotein complex non-core subunit NAF1",0,0,0,0,0,0,0,0.8377,0,0.0931,0.2792,0.1067,0.0435,0,0.7055,0,0,0,0,0,0,0,0.5799,0,0.9436,1.0151,0.7044,0.9006,0.7352,0.7129,0,0.3498,0.4136,0.1765,1.1076,0.9316,0,0,0,1.0242,0,0,0,0.7857,0,1.6466,1.0755,0.8176,0.9984,0,0,0.904,0.5162,0.5592
"NAGK;GN=_N-acetyl-D-glucosamine kinase;Isoform of Q9UJ70, Isoform 2 of N-acetyl-D-glucosamine kinase",28.3719,20.1609,18.319,17.4012,17.9957,20.2252,16.1304,24.9808,18.5015,20.2318,3.9577,0.1994,0.0085,18.2699,26.2913,25.7644,20.9617,25.6846,14.9335,28.8909,18.8646,26.903,25.0696,30.6427,24.4619,18.2092,20.1094,25.3951,13.6682,23.5042,20.091,22.6508,4.7266,0.0377,36.1658,27.5628,26.9161,23.6549,41.7854,29.3076,28.6762,20.3246,17.996,28.1367,29.2898,28.8921,27.164,16.1383,21.6223,40.4882,27.3411,21.491,27.3863,6.9225
NAMPT_Nicotinamide phosphoribosyltransferase,21.5223,39.5467,18.26,10.2963,25.4372,52.9777,31.6042,60.2568,21.106,31.223,16.6642,0.4415,0.1793,10.721,45.6365,51.7035,44.9806,30.4841,15.9023,46.3512,23.6346,44.9264,28.6383,32.4659,65.1013,57.8483,24.3052,27.2992,23.1853,32.7225,44.4223,36.1294,14.7173,0.2199,84.9177,25.6817,39.7752,70.9611,62.492,35.5697,39.4659,160.48,27.77,6.286,37.9417,58.8138,49.6243,16.3817,24.2159,58.5772,39.5381,26.9561,48.0804,34.3911
NANS_Sialic acid synthase,4.9715,5.2603,0,4.4094,3.3409,4.7347,8.6327,0,0,3.4833,2.9735,0.7747,0.4343,0,0,9.4541,0,6.109,0,0,5.4821,8.0464,0,14.9702,0,5.0198,4.2228,0,5.7453,5.088,6.912,3.9472,4.3036,0.5605,0,6.2737,12.1426,10.0235,7.9218,0,14.4618,5.5058,0,0,0,4.0652,8.1245,0,11.079,9.6301,0,0,4.9571,5.1174
"NAP1L1;GN=_Nucleosome assembly protein 1-like 1;Isoform of P55209, Isoform 2 of Nucleosome assembly protein 1-like 1",9.5124,8.7844,1.1836,0,2.8659,2.0058,7.1293,0,2.1969,3.742,3.7235,0.3452,0.8863,1.433,4.1363,1.8118,1.7833,2.3039,1.5954,3.2897,6.6627,5.2396,2.6856,2.5086,2.8118,1.4997,1.4358,1.606,2.8669,1.2985,4.9843,2.7752,1.5448,0.0086,3.8654,4.27,3.3084,1.8068,3.7387,2.9901,3.2227,5.8307,7.4985,2.2928,2.9547,2.1022,2.7271,2.0308,1.834,2.9089,2.767,8.4345,3.588,1.8752
"NAP1L4;GN=_Nucleosome assembly protein 1-like 4;Isoform of Q99733, Isoform 2 of Nucleosome assembly protein 1-like 4",129.1481,76.7379,84.9378,71.0198,76.9606,65.0119,120.6827,94.6687,68.031,87.4665,23.1216,0.1184,0.0688,83.2599,91.857,81.6432,93.5246,79.556,123.5835,148.7855,116.2917,75.701,91.1902,84.65,109.6452,100.2053,108.9682,124.4371,150.2837,108.5291,76.5246,102.702,23.0604,0.4603,125.834,104.7667,116.2284,70.052,157.661,117.6469,111.3582,46.2616,109.8943,93.7504,79.8945,88.6501,116.277,84.6952,156.0276,151.1224,123.9984,104.4617,108.81,29.3297
NAP1L5_Nucleosome assembly protein 1-like 5,3.5579,2.14,1.7853,1.4604,1.9924,1.9015,1.6227,2.0408,1.7061,2.023,0.6143,0.854,0.094,1.6453,2.2652,2.6731,1.9748,2.3772,1.922,3.1656,1.8041,1.4355,1.7904,2.075,2.133,1.5958,1.808,2.2174,2.3292,1.8917,1.9747,2.0599,0.412,0.0129,3.1167,4.02,3.6586,2.0721,5.1633,3.0379,2.2056,1.4629,1.9412,2.0444,1.7275,3.5471,2.2299,1.6005,2.8438,3.1119,1.7211,2.2416,2.6526,0.9882
NAPA_Alpha-soluble NSF attachment protein,79.1203,71.6984,48.6072,47.4984,73.2772,59.1144,59.326,75.8239,52.9672,63.0481,12.1567,0.3283,0.0207,43.9274,68.2515,74.3396,69.3786,64.5465,55.1011,94.9644,67.507,78.959,60.4433,74.1186,81.431,61.7008,55.8213,74.4818,69.01,62.5671,63.5625,67.784,11.3803,0.0429,81.3201,58.4552,96.8974,63.9765,55.8373,97.9897,96.699,78.8898,64.3391,65.2639,58.3602,84.9335,82.2799,68.4161,68.913,93.784,83.352,81.4623,76.7316,14.1923
NAPB_Beta-soluble NSF attachment protein,0,0,0,0,0,0,0,0.8285,0,0.0921,0.2762,0.2421,0.1721,0.8214,0,0,0,0,0.7839,0,0,0,0.605,1.364,0,0,0,0,0.8636,0.6911,0,0.2849,0.4391,0.6055,0.9399,0,0.843,0,1.4263,0,0,0,0,0,0,0,1.4404,0,0.8468,1.2452,0,0,0.3745,0.566
NAPG_Gamma-soluble NSF attachment protein,20.1924,17.0534,12.3965,11.9228,14.7458,15.3071,15.836,15.6065,13.7977,15.2065,2.4928,0.4751,0.4994,11.2108,14.6087,14.7782,13.4997,14.2617,15.5833,20.4438,16.2573,17.5429,15.3974,15.252,19.2837,16.3867,12.6037,22.251,16.9751,16.4606,14.9177,15.9841,2.6877,0.9865,17.6197,12.2046,18.4592,14.0256,13.2625,19.0537,17.0892,15.3894,16.1538,12.7137,13.2928,14.7802,17.7948,10.6994,21.004,19.3299,18.2691,16.3665,15.9727,2.8461
NAPRT_Nicotinate phosphoribosyltransferase,5.7941,14.4947,3.7567,9.8057,11.539,24.2266,8.481,13.5459,7.1533,10.9774,6.0834,0.1823,0.9786,9.0999,8.2151,3.5117,7.5184,3.6734,4.9529,7.3175,10.0403,32.5014,4.4642,5.319,3.8141,5.2588,7.4046,5.6892,3.5368,3.7063,6.7406,7.3758,6.5884,0.2162,8.0928,5.6172,3.0578,5.8052,4.3353,9.4358,36.3347,38.0383,6.0908,11.5791,4.1727,14.1214,4.5951,8.6588,2.5142,17.3712,4.2259,15.3906,11.0798,10.4381
"NARS1_Asparagine--tRNA ligase, cytoplasmic",3.7247,16.0365,5.1215,4.5476,6.1034,13.3781,6.068,6.3622,3.0284,7.1522,4.4757,0.0454,0.2456,4.9766,5.1181,3.6959,4.7449,5.7289,3.3095,5.0357,5.9258,10.3324,3.6606,3.4636,4.75,4.7598,3.3373,4.3346,3.7009,4.0453,3.4475,4.6871,1.6304,0.0048,12.7057,9.5592,5.2883,3.9849,24.8327,6.2948,8.3411,16.0406,2.1207,9.6488,4.3673,21.8715,9.8241,4.1654,5.4175,24.0563,7.5651,7.8227,10.217,7.0135
"NARS1_Isoform of O43776, Asparagine--tRNA ligase, cytoplasmic",2.629,4.5427,2.5936,0,3.1215,3.5204,4.7418,2.8275,1.4067,2.8204,1.4697,0.1516,0.5939,1.4516,1.5524,3.3375,0,2.2702,0,2.7692,3.0496,4.9023,2.3278,0,2.0994,3.1224,1.5783,2.4297,0,2.1789,2.6461,1.9842,1.3431,0.6154,4.7522,2.9149,0,1.5744,4.6604,0,2.6824,4.266,0,0,1.0837,8.7979,3.3573,0,0,4.6701,0,3.2356,2.3331,2.4832
